id	gender
a12049001	female
a11262953	NA
a11918676	male
a11334526	NA
a12642162	male
a12205163	male
a1220593x	female
a12070695	NA
a11552402	NA
a11142157	male
a1240682x	female
a12066849	NA
a1158368x	NA
a11336043	male
a12401663	female
a11242644	male
a1115746x	male
a12104437	female
a11902772	male
a1141814x	NA
a11446948	NA
a12632570	male
a12323780	male
a1220318x	male
a12066801	female
a12049025	NA
a11419477	NA
a11315453	male
a11140811	male
a12408232	NA
a12066825	NA
a12695750	male
a11161632	NA
a1158886x	NA
a11441562	NA
a12689932	male
a11556808	male
a11319082	male
a12327505	male
a12046504	male
a1269566x	male
a12634116	male
a12104413	female
a11908786	female
a11137356	NA
a12640840	female
a11923465	male
a11911748	male
a11420571	female
a12212817	female
a11192847	NA
a12062819	male
a12040629	female
a11578695	male
a12325302	female
a11543759	NA
a11446924	NA
a11158773	male
a12319016	NA
a12100912	NA
a11906078	male
a12635777	male
a11419453	male
a11196828	NA
a12562361	male
a11422336	female
a11142133	NA
a1221081x	male
a12071894	NA
a11582224	NA
a12210948	female
a11417493	male
a11586795	NA
a11161656	female
a11578671	NA
a1151291x	NA
a12097445	NA
a11544715	male
a11501194	NA
a11445063	NA
a12563341	male
a1264271x	female
a12560716	male
a12044787	female
a11242668	NA
a11411727	female
a11137332	NA
a12633136	NA
a12208103	male
a11550661	male
a11550685	male
a12041609	male
a12100936	female
a12637713	NA
a11501170	NA
a12072540	NA
a11591456	NA
a12689737	male
a11135153	female
a12687029	male
a12559775	NA
a11547236	NA
a11194844	male
a12558771	male
a12401687	NA
a12210043	male
a11248233	male
a12099181	NA
a11158797	NA
a12402424	female
a11243648	NA
a12098449	NA
a11517943	NA
a1119053x	male
a12061815	NA
a11194868	NA
a11157793	NA
a12689713	male
a12044520	NA
a12542970	male
a12225915	female
a11285540	male
a11420261	male
a12503526	NA
a11975283	NA
a12663311	male
a12568922	female
a12536143	female
a12187355	male
a12234795	male
a12662793	male
a1215149x	male
a11455573	NA
a12588854	male
a1234168x	female
a11455597	NA
a11216670	NA
a11285692	NA
a12714227	NA
a11288413	NA
a11218459	NA
a11976263	NA
a1256641x	NA
a11460362	NA
a12184706	male
a1215247x	female
a11370737	female
a12656070	male
a12659538	female
a11211866	male
a12186570	NA
a11456358	male
a12258994	NA
a12566767	male
a12154623	NA
a12544097	male
a11413669	male
a12663335	female
a11422312	NA
a12606789	male
a12536167	male
a12232683	male
a12344515	female
a11291801	NA
a12186028	male
a11413645	male
a12568946	NA
a12542994	male
a12155846	NA
a11994368	female
a12265895	NA
a12145105	male
a12605761	female
a12258970	male
a11832794	NA
a1182668x	male
a1128173x	NA
a12663359	male
a12606765	male
a12146419	female
a1265940x	male
a12186399	female
a12228187	NA
a12566743	male
a12182503	female
a11990181	NA
a12566986	male
a12606741	male
a12503502	male
a12263254	female
a12653706	male
a12501542	male
a12507003	NA
a12344539	NA
a11411089	NA
a12342750	female
a12609705	male
a12188530	female
a11287433	NA
a12569926	male
a12506023	male
a11994344	NA
a12588830	male
a12539697	male
a11422555	NA
a12567723	male
a11417250	NA
a12265871	male
a12509991	male
a12267636	male
a1223235x	male
a11996894	NA
a11973985	female
a11838231	male
a12186351	female
a11287457	male
a11451506	NA
a11417298	NA
a12541771	male
a12506904	NA
a11971435	NA
a11210886	NA
a12263230	male
a12228801	male
a11211842	male
a12543093	female
a11289727	NA
a11219439	female
a12502765	NA
a12342774	female
a12573991	male
a12505705	female
a1182119x	NA
a11363964	NA
a12226841	female
a11834754	male
a12605785	male
a12153643	NA
a11971411	NA
a12228825	female
a1253836x	female
a12342798	male
a1122115x	male
a1226118x	male
a1129095x	male
a11460386	male
a11370932	male
a12506047	NA
a11838279	male
a12501566	male
a12185371	male
a12567504	male
a12188578	male
a12226865	NA
a12535825	female
a11281625	NA
a12658510	male
a11359882	male
a12655028	male
a11963487	NA
a12576736	male
a11457314	NA
a1121658x	NA
a12589615	NA
a12589639	male
a12149044	male
a12183969	NA
a12534869	female
a11370956	NA
a12664339	female
a12343535	female
a12571209	NA
a12235556	male
a11450964	male
a11291849	male
a12607769	male
a1145426x	male
a12187598	male
a12180762	male
a11370075	NA
a12235532	female
a11288632	NA
a1253934x	male
a1234834x	male
a11968606	NA
a12566548	female
a11411041	NA
a12340261	male
a11375784	NA
a11973419	NA
a11970017	NA
a12348363	male
a11281649	female
a11997084	NA
a12534821	male
a12264477	female
a12234771	NA
a11992384	NA
a11370051	NA
a12226014	female
a12267612	male
a11964200	NA
a11291825	NA
a1121546x	male
a1251097x	NA
a12541205	male
a12149020	NA
a12534845	female
a12266632	male
a12502303	NA
a11376326	male
a12349367	male
a11461585	NA
a12183726	male
a11286453	male
a12536362	male
a11999925	NA
a12154404	male
a11999949	male
a11963220	male
a11468336	NA
a11372035	NA
a12508007	female
a11374780	NA
a11288656	NA
a1226412x	male
a12187550	male
a11972981	female
a12343511	male
