rara_id	birth_date	death_date
a1231108x	1950	NA
a12815421	1986	NA
a12743446	NA	2012
a11511266	NA	2017
a12648929	1900	NA
a11911311	1955	NA
a12290361	1948	NA
a12291213	1951	NA
a12651084	NA	2024
a12285730	1950	NA
a11506933	1180	1233
a12646982	NA	2024
a12316325	1985	NA
a11513457	1943	2019
a12809676	1966	NA
a12742077	1720	1768
a12809238	1950	NA
a12308705	1950	NA
a11506921	1400	NA
a12316556	NA	2024
a12315473	NA	2024
a12285985	1850	1851
a12743392	1900	NA
a11898240	1624	NA
a12283332	1950	NA
a12815755	1975	NA
a11900635	NA	1836
a1228905x	1950	NA
a12289073	1950	NA
a11513883	1248	NA
a12294652	NA	2002
a12747786	1957	NA
a12747543	1950	NA
a12314717	NA	1999
a11861459	NA	2021
a12809251	1950	NA
a11842957	1926	2008
a12285766	1962	NA
a12293799	2000	NA
a12259421	1950	NA
a12707454	NA	2025
a1270524x	1956	NA
a12501256	1950	NA
a1134703x	1657	1708
a12269232	1480	1552
a11357095	1217	NA
a11349487	NA	2008
a12374052	1976	NA
a11341981	NA	-201
a12375159	1950	NA
a12492668	1986	NA
a12374702	1949	NA
a12373825	1950	NA
a11349219	NA	2007
a11342821	1300	NA
a12373849	1957	NA
a12699974	1950	NA
a12370770	1950	NA
a12266838	1950	NA
a12501244	1939	1995
a12373801	NA	2023
a12491342	2000	NA
a12709438	NA	2025
a12370757	1950	NA
a11339652	1100	NA
a11349694	NA	2022
a11351779	400	NA
a12370174	1962	NA
a12372572	1950	NA
a12369767	1900	NA
a12265767	1900	NA
a12488513	1979	NA
a12373643	1950	NA
a12369147	1950	NA
a12822279	1950	NA
a12387605	1992	NA
a12394518	1950	NA
a12824227	1950	NA
a12794168	1900	NA
a12786792	2000	NA
a1272838x	1950	NA
a12394361	NA	2023
a12388701	1973	NA
a12727076	NA	1996
a12826820	2000	NA
a11303591	1823	NA
a11306622	NA	1809
a12396321	1950	NA
a12787863	1983	NA
a12388920	1950	NA
a12395225	1900	NA
a12386753	1950	NA
a12276182	1950	NA
a12393472	1950	NA
a1228063x	1900	NA
